1000
;;;Imported Bertec Force Plate #1 - Force;;;Imported Bertec Force Plate #1 - Moment;;;Imported Bertec Force Plate #1 - CoP;;;
Frame;Sub Frame;Tiempo;Fx;Fy;Fz;Mx;My;Mz;Cx;Cy;Cz
;;;N;N;N;N.mm;N.mm;N.mm;mm;mm;mm
216;5;0.075;3.04553;-0.772737;-446.741;182.943;25077.5;-179.861;256.134;299.59;0
216;6;0.076;3.03175;-0.759779;-446.793;167.284;25086.1;-179.574;256.147;299.626;0
216;7;0.077;3.01846;-0.746317;-446.846;150.997;25095.3;-179.321;256.161;299.662;0
216;8;0.078;3.00576;-0.73232;-446.9;134.107;25105.1;-179.102;256.176;299.7;0
216;9;0.079;2.99377;-0.717759;-446.956;116.645;25115.4;-178.917;256.192;299.739;0
217;0;0.08;2.98257;-0.702605;-447.012;98.6459;25126.3;-178.767;256.21;299.779;0
217;1;0.081;2.97231;-0.68683;-447.069;80.1487;25137.9;-178.653;256.228;299.821;0
217;2;0.082;2.96308;-0.670408;-447.126;61.1954;25150.1;-178.576;256.248;299.863;0
217;3;0.083;2.955;-0.653313;-447.185;41.8317;25163;-178.541;256.27;299.906;0
217;4;0.084;2.9482;-0.635518;-447.243;22.1066;25176.5;-178.551;256.293;299.951;0
217;5;0.085;2.9428;-0.616998;-447.302;2.07167;25190.8;-178.61;256.317;299.995;0
217;6;0.086;2.93893;-0.59773;-447.361;-18.2189;25205.8;-178.725;256.343;300.041;0
217;7;0.087;2.93671;-0.57769;-447.42;-38.7086;25221.6;-178.901;256.371;300.087;0
217;8;0.088;2.93627;-0.556854;-447.479;-59.3392;25238.2;-179.148;256.401;300.133;0
217;9;0.089;2.93774;-0.535203;-447.537;-80.0511;25255.5;-179.472;256.432;300.179;0
218;0;0.09;2.94125;-0.512716;-447.595;-100.783;25273.7;-179.884;256.466;300.225;0
218;1;0.091;2.94693;-0.489378;-447.652;-121.475;25292.7;-180.393;256.501;300.271;0
218;2;0.092;2.95491;-0.465173;-447.708;-142.063;25312.6;-181.009;256.538;300.317;0
218;3;0.093;2.96532;-0.44009;-447.763;-162.487;25333.4;-181.742;256.578;300.363;0
218;4;0.094;2.97828;-0.414122;-447.816;-182.686;25355.1;-182.605;256.62;300.408;0
218;5;0.095;2.99393;-0.387264;-447.867;-202.6;25377.7;-183.606;256.664;300.452;0
218;6;0.096;3.01238;-0.359516;-447.916;-222.172;25401.3;-184.756;256.71;300.496;0
218;7;0.097;3.03375;-0.330883;-447.963;-241.346;25425.8;-186.067;256.759;300.539;0
218;8;0.098;3.05815;-0.301374;-448.007;-260.07;25451.3;-187.546;256.81;300.581;0
218;9;0.099;3.08569;-0.271003;-448.048;-278.296;25477.7;-189.205;256.864;300.621;0
219;0;0.1;3.11647;-0.239787;-448.086;-295.979;25505.1;-191.051;256.92;300.661;0
219;1;0.101;3.15058;-0.20775;-448.121;-313.08;25533.6;-193.093;256.979;300.699;0
219;2;0.102;3.18811;-0.174918;-448.152;-329.564;25563;-195.339;257.041;300.735;0
219;3;0.103;3.22913;-0.141325;-448.18;-345.402;25593.5;-197.795;257.105;300.771;0
219;4;0.104;3.27373;-0.107004;-448.203;-360.571;25625;-200.468;257.173;300.805;0
219;5;0.105;3.32194;-0.071997;-448.222;-375.053;25657.6;-203.361;257.243;300.837;0
219;6;0.106;3.37384;-0.036345;-448.237;-388.836;25691.1;-206.48;257.316;300.867;0
219;7;0.107;3.42945;-0.000097;-448.247;-401.914;25725.8;-209.827;257.392;300.897;0
219;8;0.108;3.48881;0.036697;-448.252;-414.287;25761.5;-213.404;257.471;300.924;0
219;9;0.109;3.55195;0.073984;-448.252;-425.961;25798.4;-217.211;257.553;300.95;0
220;0;0.11;3.61889;0.111707;-448.248;-436.947;25836.3;-221.248;257.638;300.975;0
220;1;0.111;3.68962;0.149806;-448.239;-447.262;25875.4;-225.513;257.727;300.998;0
220;2;0.112;3.76415;0.188218;-448.224;-456.925;25915.6;-230.004;257.818;301.019;0
220;3;0.113;3.84247;0.226877;-448.205;-465.963;25957.1;-234.716;257.913;301.04;0
220;4;0.114;3.92456;0.265715;-448.181;-474.403;25999.7;-239.645;258.012;301.059;0
220;5;0.115;4.01042;0.304661;-448.152;-482.279;26043.6;-244.786;258.113;301.076;0
220;6;0.116;4.10001;0.34364;-448.118;-489.623;26088.7;-250.133;258.218;301.093;0
220;7;0.117;4.1933;0.382576;-448.08;-496.472;26135.2;-255.68;258.327;301.108;0
220;8;0.118;4.29026;0.421391;-448.037;-502.863;26182.9;-261.422;258.439;301.122;0
220;9;0.119;4.39084;0.460004;-447.99;-508.832;26232.1;-267.353;258.555;301.136;0
221;0;0.12;4.49501;0.498334;-447.938;-514.416;26282.6;-273.467;258.675;301.148;0
221;1;0.121;4.60271;0.536298;-447.883;-519.649;26334.6;-279.76;258.798;301.16;0
221;2;0.122;4.7139;0.573813;-447.823;-524.565;26388;-286.228;258.925;301.171;0
221;3;0.123;4.82851;0.610796;-447.76;-529.195;26442.9;-292.867;259.056;301.182;0
221;4;0.124;4.94649;0.647161;-447.693;-533.565;26499.3;-299.674;259.191;301.192;0
221;5;0.125;5.06776;0.682826;-447.623;-537.699;26557.2;-306.647;259.329;301.201;0
221;6;0.126;5.19226;0.717705;-447.55;-541.617;26616.7;-313.785;259.472;301.21;0
221;7;0.127;5.3199;0.751716;-447.473;-545.333;26677.7;-321.087;259.619;301.219;0
221;8;0.128;5.45061;0.784771;-447.394;-548.857;26740.3;-328.553;259.769;301.227;0
221;9;0.129;5.58429;0.816785;-447.311;-552.195;26804.5;-336.183;259.924;301.234;0
222;0;0.13;5.72086;0.84767;-447.226;-555.344;26870.2;-343.975;260.082;301.242;0
222;1;0.131;5.8602;0.877335;-447.138;-558.301;26937.6;-351.931;260.244;301.249;0
