Devices
1000
		Imported Bertec Force Plate #1 - Force			Imported Bertec Force Plate #1 - Moment			Imported Bertec Force Plate #1 - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
219	5	3.32194	-0.0719965	-448.222	-375.053	25657.6	-203.361	257.243	300.837	0
219	6	3.37384	-0.0363452	-448.237	-388.836	25691.1	-206.48	257.316	300.867	0
219	7	3.42945	-9.70967e-05	-448.247	-401.914	25725.8	-209.827	257.392	300.897	0
219	8	3.48881	0.0366973	-448.252	-414.287	25761.5	-213.404	257.471	300.924	0
219	9	3.55195	0.0739845	-448.252	-425.961	25798.4	-217.211	257.553	300.95	0
220	0	3.61889	0.111707	-448.248	-436.947	25836.3	-221.248	257.638	300.975	0
220	1	3.68962	0.149806	-448.239	-447.262	25875.4	-225.513	257.727	300.998	0
220	2	3.76415	0.188218	-448.224	-456.925	25915.6	-230.004	257.818	301.019	0
220	3	3.84247	0.226877	-448.205	-465.963	25957.1	-234.716	257.913	301.04	0
220	4	3.92456	0.265715	-448.181	-474.403	25999.7	-239.645	258.012	301.059	0
220	5	4.01042	0.304661	-448.152	-482.279	26043.6	-244.786	258.113	301.076	0
220	6	4.10001	0.34364	-448.118	-489.623	26088.7	-250.133	258.218	301.093	0
220	7	4.1933	0.382576	-448.08	-496.472	26135.2	-255.68	258.327	301.108	0
220	8	4.29026	0.421391	-448.037	-502.863	26182.9	-261.422	258.439	301.122	0
220	9	4.39084	0.460004	-447.99	-508.832	26232.1	-267.353	258.555	301.136	0
221	0	4.49501	0.498334	-447.938	-514.416	26282.6	-273.467	258.675	301.148	0
221	1	4.60271	0.536298	-447.883	-519.649	26334.6	-279.76	258.798	301.16	0
221	2	4.7139	0.573813	-447.823	-524.565	26388	-286.228	258.925	301.171	0
221	3	4.82851	0.610796	-447.76	-529.195	26442.9	-292.867	259.056	301.182	0
221	4	4.94649	0.647161	-447.693	-533.565	26499.3	-299.674	259.191	301.192	0
221	5	5.06776	0.682826	-447.623	-537.699	26557.2	-306.647	259.329	301.201	0
221	6	5.19226	0.717705	-447.55	-541.617	26616.7	-313.785	259.472	301.21	0
221	7	5.3199	0.751716	-447.473	-545.333	26677.7	-321.087	259.619	301.219	0
221	8	5.45061	0.784771	-447.394	-548.857	26740.3	-328.553	259.769	301.227	0
221	9	5.58429	0.816785	-447.311	-552.195	26804.5	-336.183	259.924	301.234	0
222	0	5.72086	0.84767	-447.226	-555.344	26870.2	-343.975	260.082	301.242	0
222	1	5.8602	0.877335	-447.138	-558.301	26937.6	-351.931	260.244	301.249	0
222	2	6.00221	0.905688	-447.047	-561.052	27006.5	-360.05	260.411	301.255	0
222	3	6.14679	0.932634	-446.954	-563.581	27076.9	-368.332	260.581	301.261	0
222	4	6.2938	0.958075	-446.858	-565.864	27148.9	-376.774	260.755	301.266	0
222	5	6.44312	0.98191	-446.759	-567.872	27222.4	-385.377	260.933	301.271	0
222	6	6.59462	1.00403	-446.657	-569.571	27297.4	-394.136	261.115	301.275	0
222	7	6.74817	1.02434	-446.552	-570.919	27373.8	-403.05	261.3	301.279	0
222	8	6.9036	1.04273	-446.445	-571.87	27451.7	-412.113	261.49	301.281	0
222	9	7.06077	1.05908	-446.334	-572.373	27530.9	-421.321	261.682	301.282	0
223	0	7.21952	1.07329	-446.221	-572.37	27611.4	-430.667	261.878	301.283	0
223	1	7.37968	1.08525	-446.103	-571.8	27693.1	-440.144	262.078	301.282	0
223	2	7.54108	1.09485	-445.983	-570.597	27776	-449.742	262.28	301.279	0
223	3	7.70352	1.10199	-445.858	-568.689	27860	-459.452	262.486	301.275	0
223	4	7.86684	1.10655	-445.73	-566.003	27945.1	-469.261	262.695	301.27	0
223	5	8.03083	1.10845	-445.598	-562.461	28031.1	-479.155	262.907	301.262	0
223	6	8.19529	1.10759	-445.461	-557.982	28117.9	-489.12	263.121	301.253	0
223	7	8.36004	1.10389	-445.32	-552.484	28205.5	-499.139	263.338	301.241	0
223	8	8.52487	1.09726	-445.174	-545.883	28293.8	-509.192	263.557	301.226	0
223	9	8.68957	1.08764	-445.023	-538.094	28382.7	-519.26	263.778	301.209	0
224	0	8.85394	1.07497	-444.866	-529.029	28472	-529.321	264.001	301.189	0
224	1	9.01778	1.05919	-444.704	-518.607	28561.7	-539.351	264.226	301.166	0
224	2	9.18088	1.04026	-444.536	-506.742	28651.6	-549.325	264.453	301.14	0
224	3	9.34304	1.01815	-444.362	-493.356	28741.7	-559.216	264.681	301.11	0
224	4	9.50407	0.992846	-444.182	-478.373	28831.7	-568.997	264.91	301.077	0
224	5	9.66377	0.964335	-443.994	-461.72	28921.6	-578.636	265.14	301.04	0
224	6	9.82195	0.932623	-443.8	-443.332	29011.3	-588.103	265.37	300.999	0
224	7	9.97841	0.897727	-443.598	-423.152	29100.6	-597.366	265.601	300.954	0
